"Incident ID",Year,Month,Day,"Country Code",Country,Region,District,City,UN,INGO,ICRC,"NRCS and IFRC",NNGO,Other,"Nationals killed","Nationals wounded","Nationals kidnapped","Total nationals","Internationals killed","Internationals wounded","Internationals kidnapped","Total internationals","Total killed","Total wounded","Total kidnapped","Total affected","Gender Male","Gender Female","Gender Unknown","Means of attack","Attack context",Location,Latitude,Longitude,Motive,"Actor type","Actor name",Details,Verified,Source
#event+id,#date+year,#date+month,#date+day,#country+code,#country+name+i_en,#adm1+name+i_en,#adm2+name+i_en,#adm3+name+i_en,#affected+UN,#affected+INGO,#affected+ICRC,#affected+IFRC,#affected+NGO,#affected+other,#affected+killed+national,#affected+injured+national,#affected+kidnapped+national,#affected+total+national,#affected+killed+international,#affected+injured+international,#affected+kidnapped+international,#affected+total+international,#affected+total+killed,#affected+total+injured,#affected+total+kidnapped,#affected+total,#affected+total+m,#affected+total+f,#affected+total+i,#event+means+i_en,#event+type+i_en,#loc+type+i_en,#geo+lat,#geo+lon,#x_event_motive,#group+type+i_en,#group+name+i_en,#description+i_en,,
3705,2023,2,2,UA,Ukraine,Donetsk,Donetsk,Bakhmut,0,5,0,0,0,0,0,2,0,2,1,2,0,3,1,4,0,5,3,0,2,Shelling,Ambush,Road,48.617000,37.997003,Political,"Foreign or coalition forces","Russian Armed Forces","One international country director of an INGO was killed, two national and two international INGO aid workers were injured when a missile hit an ambulance they were evacuating in Bakhmut, Donetsk Oblast.",Yes,Media
3707,2023,2,2,SS,"South Sudan",Jonglei,"Twic East","Kajo Keji, Ajira",0,0,0,4,0,0,4,0,0,4,0,0,0,0,4,0,0,4,4,0,0,Unknown,Combat/Crossfire,"Public location",3.846228,31.657426,Incidental,"Non-state armed group: National","Dinka Bor","Four national off-duty Red Cross Society aid workers were killed during an attack from suspected armed Dinka Bor on the host communities of Mogiri, Lekamerrok, Kudaz of Lire Payam in Kajo Keji. Official reports indicate the aid workers were targeted due to their ethnicity, unrelated to their work with the Red Cross.",Yes,"Official Report"
3706,2023,2,4,MZ,Mozambique,"Cabo Delgado","Cabo Delgado",Pemba,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Ambush,Road,-12.819563,40.408444,Incidental,"Non-state armed group: Unknown",Unknown,"One national INGO driver was shot and killed by a non-state armed group while going to visit his family by public transportation on his day off in Pemba, Cabo Delgado.",Yes,Media
4107,2023,2,5,BD,Bangladesh,Chittagong,"Cox's Bazar","Kutupalong Refugee Camp",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Unknown,Office/compound,21.2126,92.1634,Unknown,Unknown,Unknown,"One INGO national staff guard was shot and killed outside the INGO office in Kutupalong Refugee Camp (2w). Reasons unknown at this time.",Yes,"Focal Point"
3708,2023,2,8,BF,"Burkina Faso","Boucle du Mouhoun",Mouhoun,"Between Dédougou and Tougan",0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,"Bodily assault",Ambush,Road,12.418610,-3.363698,Incidental,"Non-state armed group: Regional","Islamic State in West Africa (ISWA)","Two INGO aid workers were killed when unknown gunmen fired their vehicle between Dedougou and Tougan, Boucle du Mouhoun region. Two other aid workers managed to escape. The INGO suspended activities in the region.",Yes,"Official Report"
4187,2023,2,9,ET,Ethiopia,Oromiya,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault","Individual attack","Public location",7.989062,39.38118,Economic,Criminal,"Not applicable","One INGO aid worker was injured when a group of criminals attacked and robbed him at a public bus stop in Oromiya.",Yes,Media
4053,2023,2,9,ET,Ethiopia,Tigray,Mi'irabawi,Shire,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault","Individual attack","Public location",14.1,38.283333,Economic,Criminal,Criminal,"One INGO aid worker was injured by four criminals who took his personal belongings in Shire, Tigray.",Yes,"Focal Point"
3709,2023,2,11,SO,Somalia,Somaliland,Sool,Lasanod,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Unknown,"Public location",8.476,47.357,Unknown,Unknown,Unknown,"One male first aid instructor volunteer from the Somali Red Crescent was killed by a stray bullet in Lasanod, Sool, Somaliland.",Yes,Media
3710,2023,2,11,SS,"South Sudan",Jonglei,Pibor,Boma,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault",Ambush,Road,6.8,33.133333,Unknown,Unknown,Unknown,"One local INGO male worked was injured during an assault by unidentified men on the way to Boma hospital. Another female national aid worker was also assaulted but did not suffer injuries.",Yes,"Official Report"
3712,2023,2,12,MM,Myanmar,Mandalay,Mandalay,Madaya,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Ambush,Road,22.207046,96.150516,Unknown,Unknown,Unknown,"One national NGO driver was injured when his ambulance was shot at while returning from the hospital in Mandalay town to Let Pan Hla village.",Yes,Media
3867,2023,2,13,SS,"South Sudan",Jonglei,Piggi,"Alam Payam",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,"Bodily assault","Individual attack","Project site",7.4,32.066667,Incidental,"Aid recipient","Not applicable","One community health worker from an INGO-supported health facility was assaulted and injured by a patient over a dispute regarding the expiration date of a Covid-19 vaccine in Maat village, Alam Payam, Pigi County.",Yes,"Official Report"
3713,2023,2,14,UA,Ukraine,Kherson,Kherson,Kherson,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Shelling,Combat/Crossfire,Office/compound,46.667762,32.589183,Disputed,"Foreign or coalition forces","Russian Armed Forces","One national NGO worked was injured when an airstrike hit the organisation's warehouse in Kherson city.",Yes,Media
3714,2023,2,21,SS,"South Sudan","Central Equatoria",Juba,Nyori,0,0,0,0,6,0,1,0,5,6,0,0,0,0,1,0,5,6,0,0,6,Kidnap-killing,Ambush,Road,4.451930,31.501216,Unknown,Unknown,Unknown,"One aid worker was murdered and five other aid workers are missing after an attack by unknown actors on an INGO-contracted boat transporting humanitarian supplies from Juba County to Panyijiar County, close to Nyori village.",Yes,"Official Report"
3725,2023,2,22,SO,Somalia,Bari,Bosaso,"Xiniinyo Warsangeli",0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Combat/Crossfire,"Public location",11.282146,49.176987,Unknown,Unknown,Unknown,"One national NGO driver was shot and killed at a teashop by unknown armed men in Xiniinyo Warsangeli area, Bari region.",Yes,Media
4138,2023,2,23,AF,Afghanistan,Kabul,Kabul,Kabul,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault","Individual attack","Public location",34.525278,69.178333,Economic,Unaffiliated,"Not applicable","One UN national staff was stabbed during a robbery while he was walking to catch a taxi in Kabul.",Yes,"Focal Point"
